name,student_email,username,password,school_name,class,parent_1_name,parent_1_phone,parent_1_email,parent_2_name,parent_2_phone,parent_2_email,address,pin_code,mode_of_transport,carpool,car_details,fuel_type
Vivan Chopra,vivan.chopra@vasantvalleyschool.edu.in,vivan144,Pass7848,Vasant Valley School,3,Kartik Thakur,918225839434,kartik.thakur@gmail.com,Kiaan Ahluwalia,918508483252,kiaan.ahluwalia@yahoo.com,"C-23, Rohini, New Delhi",110085,Bus,,,Diesel
Keshav Sethi,keshav.sethi@delhipublicschool.edu.in,keshav535,Pass5531,Delhi Public School,6,Harsh Bhat,919561531659,harsh.bhat@gmail.com,Vihaan Pillai,919997689190,vihaan.pillai@hotmail.com,"D-22, Hauz Khas, New Delhi",110016,Bus,,,Diesel
Aman Agarwal,aman.agarwal@springdalesschool.edu.in,aman854,Pass7764,Springdales School,2,Yuvraj Mehta,919634858804,yuvraj.mehta@gmail.com,Aakash Singh,918822756360,aakash.singh@hotmail.com,"B-18, Safdarjung Enclave, New Delhi",110029,Car,N,Volkswagen Polo,Petrol
Neel Saini,neel.saini@themother'sinternationalschool.edu.in,neel481,Pass7290,The Mother's International School,10,Aayush Dhillon,918657753512,aayush.dhillon@yahoo.com,Om Singh,918276542426,om.singh@yahoo.com,"B-18, Hauz Khas, New Delhi",110016,Car,N,Toyota Innova,Diesel
Aditya Rana,aditya.rana@delhipublicschool.edu.in,aditya591,Pass3786,Delhi Public School,9,Arjun Ahluwalia,919164458321,arjun.ahluwalia@hotmail.com,Vivaan Gupta,917496786814,vivaan.gupta@gmail.com,"C-8, Greater Kailash, New Delhi",110048,Car,N,Toyota Innova,Diesel
Arjun Garg,arjun.garg@sanskritischool.edu.in,arjun842,Pass6395,Sanskriti School,6,Aayush Verma,918693493939,aayush.verma@yahoo.com,Eshan Gupta,917693360953,eshan.gupta@hotmail.com,"C-6, Pitampura, New Delhi",110034,Bus,,,Diesel
Ayaan Bhat,ayaan.bhat@themother'sinternationalschool.edu.in,ayaan950,Pass9678,The Mother's International School,6,Abhinav Thakur,917399171000,abhinav.thakur@yahoo.com,Aman Garg,919757084275,aman.garg@gmail.com,"D-11, Hauz Khas, New Delhi",110016,Car,N,Ford EcoSport,Diesel
Abhinav Gill,abhinav.gill@delhipublicschool.edu.in,abhinav221,Pass1335,Delhi Public School,7,Aayush Jain,919087011762,aayush.jain@yahoo.com,Ayaan Bhardwaj,918241715788,ayaan.bhardwaj@yahoo.com,"B-19, Greater Kailash, New Delhi",110048,Car,N,Volkswagen Polo,Petrol
Vivan Jain,vivan.jain@springdalesschool.edu.in,vivan286,Pass7388,Springdales School,10,Eshan Chopra,918565564407,eshan.chopra@gmail.com,Reyansh Bhardwaj,918423421661,reyansh.bhardwaj@gmail.com,"C-7, Pitampura, New Delhi",110034,Bus,,,Diesel
Abhinav Bhat,abhinav.bhat@delhipublicschool.edu.in,abhinav373,Pass1057,Delhi Public School,5,Dev Garg,919778382109,dev.garg@yahoo.com,Eshan Saxena,919329126351,eshan.saxena@gmail.com,"A-6, Greater Kailash, New Delhi",110048,Car,N,Hyundai i20,Petrol
Aryan Pillai,aryan.pillai@sanskritischool.edu.in,aryan103,Pass3452,Sanskriti School,10,Jay Nair,919216361367,jay.nair@yahoo.com,Rohan Dhillon,919103870329,rohan.dhillon@yahoo.com,"A-24, Lajpat Nagar, New Delhi",110024,Car,Y,Hyundai i20,Petrol
Raghav Rana,raghav.rana@themother'sinternationalschool.edu.in,raghav729,Pass4835,The Mother's International School,3,Dev Chawla,917103306501,dev.chawla@gmail.com,Sarthak Jain,919074281400,sarthak.jain@hotmail.com,"B-5, Safdarjung Enclave, New Delhi",110029,Car,Y,Volkswagen Polo,Petrol
Kiaan Saxena,kiaan.saxena@sanskritischool.edu.in,kiaan529,Pass6478,Sanskriti School,8,Dhruv Pandey,918295102644,dhruv.pandey@gmail.com,Nirvaan Chopra,917379851442,nirvaan.chopra@yahoo.com,"C-19, Hauz Khas, New Delhi",110016,Car,N,Volkswagen Polo,Petrol
Samarth Tyagi,samarth.tyagi@delhipublicschool.edu.in,samarth834,Pass1741,Delhi Public School,6,Vivan Chopra,918078473300,vivan.chopra@yahoo.com,Nishant Singh,917073613376,nishant.singh@hotmail.com,"A-3, Hauz Khas, New Delhi",110016,Car,N,Honda City,Petrol
Aditya Bhardwaj,aditya.bhardwaj@themother'sinternationalschool.edu.in,aditya780,Pass4343,The Mother's International School,6,Krishna Joshi,919741167531,krishna.joshi@hotmail.com,Samar Bajaj,919779495638,samar.bajaj@yahoo.com,"A-12, Saket, New Delhi",110017,Bus,,,Diesel
Ayush Mishra,ayush.mishra@vasantvalleyschool.edu.in,ayush919,Pass4627,Vasant Valley School,5,Neel Mehta,917647193915,neel.mehta@gmail.com,Vivaan Saxena,919860567083,vivaan.saxena@gmail.com,"D-18, Vasant Kunj, New Delhi",110070,Car,N,Maruti Alto,Petrol
Kartik Tyagi,kartik.tyagi@delhipublicschool.edu.in,kartik749,Pass1111,Delhi Public School,10,Advik Pillai,917749014992,advik.pillai@hotmail.com,Raghav Chopra,917289122649,raghav.chopra@yahoo.com,"C-22, Lajpat Nagar, New Delhi",110024,Car,N,Mahindra Scorpio,Diesel
Sai Kumar,sai.kumar@delhipublicschool.edu.in,sai296,Pass6829,Delhi Public School,7,Sai Joshi,919862467498,sai.joshi@hotmail.com,Om Choudhary,917247267559,om.choudhary@gmail.com,"A-9, Malviya Nagar, New Delhi",110017,Car,Y,Maruti Alto,Petrol
Gaurav Mehta,gaurav.mehta@vasantvalleyschool.edu.in,gaurav964,Pass6886,Vasant Valley School,12,Arjun Thakur,917003225709,arjun.thakur@gmail.com,Keshav Saini,919184391973,keshav.saini@yahoo.com,"A-4, Saket, New Delhi",110017,Car,N,Mahindra Scorpio,Diesel
Rohan Desai,rohan.desai@sanskritischool.edu.in,rohan958,Pass7249,Sanskriti School,9,Vihaan Joshi,917031054022,vihaan.joshi@gmail.com,Rohan Singh,919415868683,rohan.singh@gmail.com,"B-4, Lajpat Nagar, New Delhi",110024,Car,N,Toyota Innova,Diesel
Shaurya Choudhary,shaurya.choudhary@sanskritischool.edu.in,shaurya211,Pass4620,Sanskriti School,9,Rudra Bajaj,919499378946,rudra.bajaj@gmail.com,Nirvaan Sethi,919433273048,nirvaan.sethi@yahoo.com,"B-16, Lajpat Nagar, New Delhi",110024,Car,N,Mahindra Scorpio,Diesel
Kabir Kapoor,kabir.kapoor@themother'sinternationalschool.edu.in,kabir142,Pass5651,The Mother's International School,7,Neel Tiwari,919491957987,neel.tiwari@hotmail.com,Shaurya Saini,917201586537,shaurya.saini@gmail.com,"B-17, Greater Kailash, New Delhi",110048,Car,Y,Volkswagen Polo,Petrol
Yuvraj Bajaj,yuvraj.bajaj@sanskritischool.edu.in,yuvraj724,Pass6164,Sanskriti School,7,Atharv Bansal,919849519179,atharv.bansal@gmail.com,Samar Mehta,917856104876,samar.mehta@gmail.com,"C-24, Safdarjung Enclave, New Delhi",110029,Car,Y,Tata Nexon,Petrol
Tanay Khanna,tanay.khanna@springdalesschool.edu.in,tanay824,Pass7922,Springdales School,1,Yuvraj Pillai,918155516360,yuvraj.pillai@hotmail.com,Nirvaan Bajaj,919071052254,nirvaan.bajaj@yahoo.com,"A-12, Dwarka, New Delhi",110075,Bus,,,Diesel
Ayush Garg,ayush.garg@vasantvalleyschool.edu.in,ayush858,Pass4172,Vasant Valley School,10,Kartik Saini,919208701853,kartik.saini@yahoo.com,Keshav Reddy,917422695936,keshav.reddy@yahoo.com,"D-24, Dwarka, New Delhi",110075,Car,Y,Maruti Alto,Petrol
Raghav Patel,raghav.patel@themother'sinternationalschool.edu.in,raghav184,Pass5654,The Mother's International School,3,Aman Garg,917442118369,aman.garg@yahoo.com,Ishaan Mishra,917437906952,ishaan.mishra@gmail.com,"A-11, Pitampura, New Delhi",110034,Bus,,,Diesel
Keshav Bajaj,keshav.bajaj@delhipublicschool.edu.in,keshav410,Pass2549,Delhi Public School,6,Neel Tripathi,917342568432,neel.tripathi@hotmail.com,Ayush Jain,918619607368,ayush.jain@hotmail.com,"C-6, Safdarjung Enclave, New Delhi",110029,Car,N,Toyota Innova,Diesel
Vihaan Choudhary,vihaan.choudhary@themother'sinternationalschool.edu.in,vihaan923,Pass4254,The Mother's International School,2,Jay Desai,918425607447,jay.desai@hotmail.com,Shaurya Chopra,919889615383,shaurya.chopra@gmail.com,"A-17, Pitampura, New Delhi",110034,Car,N,Volkswagen Polo,Petrol
Aditya Tripathi,aditya.tripathi@springdalesschool.edu.in,aditya828,Pass9617,Springdales School,12,Ishaan Chopra,918847446389,ishaan.chopra@hotmail.com,Rudra Kumar,918969149740,rudra.kumar@hotmail.com,"B-13, Greater Kailash, New Delhi",110048,Bus,,,Diesel
Ujjwal Dhillon,ujjwal.dhillon@delhipublicschool.edu.in,ujjwal959,Pass2986,Delhi Public School,5,Rishi Bajaj,918299074754,rishi.bajaj@yahoo.com,Krishna Khanna,918321077827,krishna.khanna@yahoo.com,"D-24, Vasant Kunj, New Delhi",110070,Car,N,Volkswagen Polo,Petrol
Arjun Bhat,arjun.bhat@delhipublicschool.edu.in,arjun694,Pass5133,Delhi Public School,12,Yuvraj Chawla,919307421293,yuvraj.chawla@gmail.com,Rudra Jain,917421929968,rudra.jain@hotmail.com,"A-1, Dwarka, New Delhi",110075,Car,N,Ford EcoSport,Diesel
Yuvraj Choudhary,yuvraj.choudhary@delhipublicschool.edu.in,yuvraj652,Pass9136,Delhi Public School,7,Aman Saxena,918408453170,aman.saxena@hotmail.com,Ayush Saini,919582569598,ayush.saini@gmail.com,"C-20, Rohini, New Delhi",110085,Car,N,Tata Nexon,Petrol
Laksh Dhillon,laksh.dhillon@sanskritischool.edu.in,laksh727,Pass9174,Sanskriti School,7,Neel Singh,918477461350,neel.singh@gmail.com,Keshav Jain,917082344581,keshav.jain@gmail.com,"C-13, Vasant Kunj, New Delhi",110070,Bus,,,Diesel
Samar Bajaj,samar.bajaj@springdalesschool.edu.in,samar943,Pass9315,Springdales School,10,Ayaan Tripathi,917172084598,ayaan.tripathi@hotmail.com,Advik Choudhary,919488428476,advik.choudhary@hotmail.com,"A-13, Rohini, New Delhi",110085,Car,Y,Toyota Innova,Diesel
Aman Gupta,aman.gupta@themother'sinternationalschool.edu.in,aman566,Pass6978,The Mother's International School,7,Keshav Bansal,919213540027,keshav.bansal@hotmail.com,Ayush Shukla,918577668377,ayush.shukla@gmail.com,"B-21, Pitampura, New Delhi",110034,Car,N,Ford EcoSport,Diesel
Ranveer Bansal,ranveer.bansal@springdalesschool.edu.in,ranveer188,Pass9014,Springdales School,4,Ritvik Dhillon,917919426356,ritvik.dhillon@hotmail.com,Shaurya Tripathi,918248997454,shaurya.tripathi@hotmail.com,"D-25, Rohini, New Delhi",110085,Bus,,,Diesel
Pranav Reddy,pranav.reddy@sanskritischool.edu.in,pranav887,Pass3515,Sanskriti School,2,Gaurav Tiwari,918528022222,gaurav.tiwari@yahoo.com,Vihaan Sharma,919305268953,vihaan.sharma@gmail.com,"B-2, Hauz Khas, New Delhi",110016,Bus,,,Diesel
Aayush Tripathi,aayush.tripathi@themother'sinternationalschool.edu.in,aayush702,Pass9746,The Mother's International School,3,Dev Jain,917851581414,dev.jain@hotmail.com,Aditya Thakur,919508159329,aditya.thakur@yahoo.com,"A-18, Safdarjung Enclave, New Delhi",110029,Car,N,Tata Nexon,Petrol
Dev Reddy,dev.reddy@themother'sinternationalschool.edu.in,dev108,Pass3873,The Mother's International School,1,Sarthak Tyagi,918417571415,sarthak.tyagi@hotmail.com,Aman Patel,917184238968,aman.patel@hotmail.com,"B-25, Safdarjung Enclave, New Delhi",110029,Car,N,Toyota Innova,Diesel
Parth Gupta,parth.gupta@delhipublicschool.edu.in,parth366,Pass3095,Delhi Public School,6,Vivan Bhat,919711261250,vivan.bhat@gmail.com,Ishaan Agarwal,918822819426,ishaan.agarwal@hotmail.com,"C-9, Rohini, New Delhi",110085,Bus,,,Diesel
Aryan Verma,aryan.verma@vasantvalleyschool.edu.in,aryan373,Pass1653,Vasant Valley School,5,Rohan Chawla,918462976045,rohan.chawla@gmail.com,Parth Mishra,918484687280,parth.mishra@gmail.com,"A-17, Malviya Nagar, New Delhi",110017,Car,N,Hyundai i20,Petrol
Yuvraj Verma,yuvraj.verma@themother'sinternationalschool.edu.in,yuvraj375,Pass2777,The Mother's International School,5,Raghav Sharma,918915270516,raghav.sharma@yahoo.com,Raghav Gill,917524171466,raghav.gill@yahoo.com,"D-23, Pitampura, New Delhi",110034,Car,Y,Tata Nexon,Petrol
Aman Desai,aman.desai@vasantvalleyschool.edu.in,aman550,Pass5206,Vasant Valley School,4,Dev Singh,919850884772,dev.singh@hotmail.com,Parth Tyagi,919034334546,parth.tyagi@yahoo.com,"C-4, Safdarjung Enclave, New Delhi",110029,Car,N,Maruti Alto,Petrol
Aman Verma,aman.verma@vasantvalleyschool.edu.in,aman728,Pass9020,Vasant Valley School,5,Aditya Saini,919901745498,aditya.saini@hotmail.com,Shaurya Bhat,918925723893,shaurya.bhat@gmail.com,"D-12, Pitampura, New Delhi",110034,Car,N,Mahindra Scorpio,Diesel
Dhruv Chopra,dhruv.chopra@springdalesschool.edu.in,dhruv480,Pass1104,Springdales School,8,Pranav Mehta,919645138325,pranav.mehta@yahoo.com,Vivan Bhat,919245587905,vivan.bhat@hotmail.com,"C-16, Safdarjung Enclave, New Delhi",110029,Car,Y,Honda City,Petrol
Samarth Nair,samarth.nair@themother'sinternationalschool.edu.in,samarth787,Pass7506,The Mother's International School,5,Aakash Sharma,917675818909,aakash.sharma@yahoo.com,Vihaan Rana,919658189804,vihaan.rana@hotmail.com,"D-16, Saket, New Delhi",110017,Car,N,Volkswagen Polo,Petrol
Tanay Kumar,tanay.kumar@springdalesschool.edu.in,tanay805,Pass2043,Springdales School,7,Manan Reddy,919425931134,manan.reddy@hotmail.com,Yuvraj Reddy,917818367848,yuvraj.reddy@gmail.com,"D-21, Saket, New Delhi",110017,Bus,,,Diesel
Vihaan Desai,vihaan.desai@sanskritischool.edu.in,vihaan789,Pass1653,Sanskriti School,10,Aryan Sharma,918384976342,aryan.sharma@hotmail.com,Reyansh Gill,919957934784,reyansh.gill@gmail.com,"C-8, Pitampura, New Delhi",110034,Car,N,Toyota Innova,Diesel
Rajat Kumar,rajat.kumar@vasantvalleyschool.edu.in,rajat493,Pass8134,Vasant Valley School,4,Kabir Singh,917795851823,kabir.singh@hotmail.com,Keshav Malhotra,917642104585,keshav.malhotra@yahoo.com,"B-22, Malviya Nagar, New Delhi",110017,Bus,,,Diesel
Arjun Tripathi,arjun.tripathi@sanskritischool.edu.in,arjun553,Pass2740,Sanskriti School,4,Kiaan Gill,917851735848,kiaan.gill@gmail.com,Nishant Reddy,917764260300,nishant.reddy@hotmail.com,"B-12, Dwarka, New Delhi",110075,Bus,,,Diesel
Rohan Bajaj,rohan.bajaj@vasantvalleyschool.edu.in,rohan517,Pass2990,Vasant Valley School,1,Ritvik Sharma,917620083886,ritvik.sharma@hotmail.com,Nirvaan Kumar,917471031508,nirvaan.kumar@yahoo.com,"C-15, Dwarka, New Delhi",110075,Bus,,,Diesel
Jay Pandey,jay.pandey@sanskritischool.edu.in,jay520,Pass1910,Sanskriti School,4,Aryan Garg,918847623308,aryan.garg@yahoo.com,Harsh Jain,919784308153,harsh.jain@hotmail.com,"B-5, Saket, New Delhi",110017,Car,Y,Toyota Innova,Diesel
Abhinav Gupta,abhinav.gupta@sanskritischool.edu.in,abhinav942,Pass9283,Sanskriti School,9,Aarav Thakur,919113428729,aarav.thakur@gmail.com,Pranav Mehta,919722344928,pranav.mehta@yahoo.com,"B-1, Vasant Kunj, New Delhi",110070,Car,N,Hyundai i20,Petrol
Raghav Jain,raghav.jain@springdalesschool.edu.in,raghav894,Pass1780,Springdales School,1,Neel Pandey,917832862015,neel.pandey@hotmail.com,Keshav Jain,918101078865,keshav.jain@hotmail.com,"D-18, Pitampura, New Delhi",110034,Car,N,Ford EcoSport,Diesel
Gaurav Reddy,gaurav.reddy@delhipublicschool.edu.in,gaurav482,Pass8526,Delhi Public School,12,Samar Kapoor,919198131647,samar.kapoor@yahoo.com,Laksh Pandey,919239315264,laksh.pandey@gmail.com,"B-24, Hauz Khas, New Delhi",110016,Car,N,Maruti Alto,Petrol
Sarthak Jain,sarthak.jain@springdalesschool.edu.in,sarthak182,Pass4875,Springdales School,6,Rajat Chawla,919867273708,rajat.chawla@hotmail.com,Yuvraj Bajaj,918481082238,yuvraj.bajaj@yahoo.com,"D-7, Malviya Nagar, New Delhi",110017,Car,Y,Honda City,Petrol
Parth Malhotra,parth.malhotra@springdalesschool.edu.in,parth361,Pass6628,Springdales School,8,Neel Tyagi,919270542816,neel.tyagi@yahoo.com,Aditya Desai,919962722840,aditya.desai@gmail.com,"A-2, Vasant Kunj, New Delhi",110070,Car,N,Hyundai i20,Petrol
Kartik Dhillon,kartik.dhillon@delhipublicschool.edu.in,kartik621,Pass6108,Delhi Public School,5,Atharv Reddy,919568430260,atharv.reddy@gmail.com,Kiaan Tripathi,917275879005,kiaan.tripathi@gmail.com,"D-12, Rohini, New Delhi",110085,Bus,,,Diesel
Aryan Saini,aryan.saini@vasantvalleyschool.edu.in,aryan980,Pass2882,Vasant Valley School,5,Ranveer Bhardwaj,918724741236,ranveer.bhardwaj@gmail.com,Ujjwal Jain,917212965997,ujjwal.jain@hotmail.com,"C-21, Malviya Nagar, New Delhi",110017,Car,N,Volkswagen Polo,Petrol
Harsh Thakur,harsh.thakur@delhipublicschool.edu.in,harsh412,Pass6090,Delhi Public School,6,Abhinav Desai,917349749864,abhinav.desai@yahoo.com,Dhruv Chopra,918472696915,dhruv.chopra@yahoo.com,"C-3, Pitampura, New Delhi",110034,Bus,,,Diesel
Arnav Khanna,arnav.khanna@themother'sinternationalschool.edu.in,arnav862,Pass1316,The Mother's International School,5,Vivan Sharma,919140454797,vivan.sharma@hotmail.com,Neel Khanna,918454876483,neel.khanna@yahoo.com,"C-5, Vasant Kunj, New Delhi",110070,Bus,,,Diesel
Tanay Rana,tanay.rana@vasantvalleyschool.edu.in,tanay267,Pass3825,Vasant Valley School,7,Reyansh Thakur,919691438920,reyansh.thakur@yahoo.com,Aryan Tiwari,919940539347,aryan.tiwari@yahoo.com,"A-7, Rohini, New Delhi",110085,Car,Y,Maruti Alto,Petrol
Pranav Gupta,pranav.gupta@delhipublicschool.edu.in,pranav950,Pass4861,Delhi Public School,3,Ujjwal Malhotra,917724767377,ujjwal.malhotra@gmail.com,Advik Patel,918911418000,advik.patel@gmail.com,"D-18, Greater Kailash, New Delhi",110048,Bus,,,Diesel
Laksh Bhat,laksh.bhat@vasantvalleyschool.edu.in,laksh757,Pass4230,Vasant Valley School,11,Raghav Saini,919620789432,raghav.saini@yahoo.com,Yuvraj Verma,918674604196,yuvraj.verma@gmail.com,"D-13, Dwarka, New Delhi",110075,Bus,,,Diesel
Dhruv Desai,dhruv.desai@springdalesschool.edu.in,dhruv237,Pass9148,Springdales School,11,Tanishq Choudhary,918544628945,tanishq.choudhary@hotmail.com,Vihaan Chawla,918274560293,vihaan.chawla@yahoo.com,"C-7, Saket, New Delhi",110017,Car,N,Volkswagen Polo,Petrol
Ayaan Garg,ayaan.garg@delhipublicschool.edu.in,ayaan306,Pass9106,Delhi Public School,10,Ujjwal Tyagi,917267352109,ujjwal.tyagi@hotmail.com,Krishna Patel,917028405582,krishna.patel@gmail.com,"B-21, Rohini, New Delhi",110085,Car,Y,Honda City,Petrol
Jay Saini,jay.saini@vasantvalleyschool.edu.in,jay300,Pass5090,Vasant Valley School,4,Ayaan Bhat,917849175820,ayaan.bhat@hotmail.com,Raghav Pillai,918216114503,raghav.pillai@yahoo.com,"A-10, Lajpat Nagar, New Delhi",110024,Car,N,Hyundai i20,Petrol
Aryan Mehta,aryan.mehta@delhipublicschool.edu.in,aryan860,Pass8034,Delhi Public School,3,Aditya Nair,917016248693,aditya.nair@hotmail.com,Aayush Khanna,917356595131,aayush.khanna@yahoo.com,"C-2, Dwarka, New Delhi",110075,Bus,,,Diesel
Reyansh Pillai,reyansh.pillai@springdalesschool.edu.in,reyansh384,Pass8329,Springdales School,10,Om Khanna,918951717772,om.khanna@hotmail.com,Arjun Thakur,917825571231,arjun.thakur@gmail.com,"D-9, Malviya Nagar, New Delhi",110017,Bus,,,Diesel
Rajat Pandey,rajat.pandey@delhipublicschool.edu.in,rajat965,Pass9724,Delhi Public School,6,Raghav Singh,917306623945,raghav.singh@yahoo.com,Yuvraj Chawla,919920364511,yuvraj.chawla@hotmail.com,"A-6, Rohini, New Delhi",110085,Bus,,,Diesel
Vihaan Bhat,vihaan.bhat@springdalesschool.edu.in,vihaan106,Pass2362,Springdales School,3,Harsh Bajaj,919097147494,harsh.bajaj@gmail.com,Yuvraj Bhat,917381842802,yuvraj.bhat@hotmail.com,"B-3, Safdarjung Enclave, New Delhi",110029,Car,N,Mahindra Scorpio,Diesel
Laksh Bhardwaj,laksh.bhardwaj@springdalesschool.edu.in,laksh776,Pass4612,Springdales School,8,Ritvik Pillai,918987399287,ritvik.pillai@yahoo.com,Ujjwal Jain,918348194964,ujjwal.jain@gmail.com,"C-18, Hauz Khas, New Delhi",110016,Bus,,,Diesel
Raghav Bhat,raghav.bhat@delhipublicschool.edu.in,raghav655,Pass9003,Delhi Public School,4,Samar Bhardwaj,918931546262,samar.bhardwaj@hotmail.com,Vihaan Shukla,917457780705,vihaan.shukla@gmail.com,"B-1, Malviya Nagar, New Delhi",110017,Car,N,Hyundai i20,Petrol
Aayush Sethi,aayush.sethi@themother'sinternationalschool.edu.in,aayush150,Pass3146,The Mother's International School,6,Abhinav Chopra,918738852344,abhinav.chopra@yahoo.com,Ritvik Patel,918989112144,ritvik.patel@hotmail.com,"B-6, Safdarjung Enclave, New Delhi",110029,Car,N,Toyota Innova,Diesel
Tanishq Tripathi,tanishq.tripathi@vasantvalleyschool.edu.in,tanishq528,Pass7078,Vasant Valley School,4,Gaurav Agarwal,918151767543,gaurav.agarwal@hotmail.com,Eshan Bhat,917028636210,eshan.bhat@gmail.com,"D-8, Pitampura, New Delhi",110034,Car,N,Volkswagen Polo,Petrol
Tanay Bhat,tanay.bhat@vasantvalleyschool.edu.in,tanay170,Pass6850,Vasant Valley School,6,Kartik Bhat,917393352251,kartik.bhat@yahoo.com,Abhinav Tiwari,918793183642,abhinav.tiwari@gmail.com,"D-20, Malviya Nagar, New Delhi",110017,Car,N,Tata Nexon,Petrol
Rohan Khanna,rohan.khanna@themother'sinternationalschool.edu.in,rohan880,Pass5085,The Mother's International School,3,Nirvaan Tripathi,917679899452,nirvaan.tripathi@hotmail.com,Om Bhat,918946002868,om.bhat@gmail.com,"A-13, Safdarjung Enclave, New Delhi",110029,Car,N,Mahindra Scorpio,Diesel
Ritvik Tyagi,ritvik.tyagi@delhipublicschool.edu.in,ritvik985,Pass1752,Delhi Public School,3,Tanay Rana,917505338691,tanay.rana@hotmail.com,Aryan Malhotra,917390458243,aryan.malhotra@gmail.com,"B-8, Dwarka, New Delhi",110075,Car,N,Tata Nexon,Petrol
Samar Choudhary,samar.choudhary@delhipublicschool.edu.in,samar207,Pass7043,Delhi Public School,8,Keshav Pillai,918719886937,keshav.pillai@hotmail.com,Abhinav Nair,919507612992,abhinav.nair@gmail.com,"B-25, Saket, New Delhi",110017,Bus,,,Diesel
Arjun Mishra,arjun.mishra@vasantvalleyschool.edu.in,arjun681,Pass7108,Vasant Valley School,12,Aayush Bajaj,918602836430,aayush.bajaj@gmail.com,Yuvraj Nair,917780418894,yuvraj.nair@yahoo.com,"A-5, Saket, New Delhi",110017,Bus,,,Diesel
Kabir Mishra,kabir.mishra@vasantvalleyschool.edu.in,kabir726,Pass6155,Vasant Valley School,7,Rajat Bhardwaj,919060422878,rajat.bhardwaj@hotmail.com,Nishant Bansal,918591309700,nishant.bansal@yahoo.com,"D-23, Rohini, New Delhi",110085,Bus,,,Diesel
Advik Singh,advik.singh@themother'sinternationalschool.edu.in,advik522,Pass3128,The Mother's International School,3,Dev Shukla,919770458088,dev.shukla@yahoo.com,Vihaan Saxena,917397533204,vihaan.saxena@hotmail.com,"B-13, Dwarka, New Delhi",110075,Car,Y,Maruti Alto,Petrol
Raghav Verma,raghav.verma@springdalesschool.edu.in,raghav413,Pass1737,Springdales School,3,Ujjwal Dhillon,917541747433,ujjwal.dhillon@hotmail.com,Dhruv Pandey,918543783502,dhruv.pandey@gmail.com,"D-12, Saket, New Delhi",110017,Car,N,Maruti Alto,Petrol
